Actinobacteria,Bacilli,Bacteriaunclassified,Bacteroidetesunclassified,Bacteroidia,Betaproteobacteria,CandidatusSaccharibacteriaunclassified,Clostridia,Deferribacteres,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Firmicutesunclassified,Gammaproteobacteria,Mollicutes,Proteobacteriaunclassified,Verrucomicrobiae
0.027852454000000002,0.18738703504,0.00506808814,0,0.5253184156899999,0,4.407034e-5,0.24022741619999982,0,0,0,0.006522409999999999,3.525627e-4,1.32211e-4,0.007095324,0,0
0.011292564389999999,0.1838082043,0.00249015539,0.006717628,0.60145931906,0.0049224002000000005,0,0.16556635975999978,0,2.895529e-4,0.018936765,0.0012161223000000001,9.8448e-4,1.158212e-4,0.002200602,0,0
0.013192731329999999,0.20053844488999997,0.00130132373,0.002961633,0.5877496106400003,0.019833972,0,0.15885124213000004,0,5.384788e-4,0,0.014090197300000001,3.5898583e-4,8.974647e-5,4.936056e-4,0,0
0.01584068438,0.25895407976000007,0.00389176027,0,0.60428700469,0,0,0.11213134585000002,0,0,3.040438e-5,0.00316205488,1.216175e-4,0,0.001550623,3.040438e-5,0
0.0187934622,0.04420069928,0.006586557349999999,0,0.51886832,3.5382329999999996e-4,0,0.36485989225999993,0,0,0,0.03886613,0.003551842,0,0.003116367,0,8.029068e-4
0.03107387837,0.03838537747000001,0.00159246705,0,0.6722564605500001,0.006536038,0,0.24409057071000018,0,0,0,9.693277e-5,0.00135705924,1.384754e-5,4.154262e-4,0,0.004181957
0.037303015799999985,0.05989781728,0.00438943646,0,0.5995826485800002,0.010117291,0,0.27532560426999997,0,1.43916e-5,0,8.922789e-4,0.0020004315,0,7.48363e-4,0,0.009728718
0.00488979844,7.226304e-4,0.0039503798,0,0.6852703432599999,0.005347465,1.445261e-4,0.29143683442000023,0,0,0,0.00204745272,0.0027700831999999996,0,0.00342045,0,0
0.031835957799999995,0.16652659199,0.00281443024,0,0.45564531032,0.008534668569999999,0,0.27535729015999955,0,0,0,0.049252530899999994,7.1274534e-4,0,0.002869257,0,0.006451259
0.03721848814999999,0.17690178145000002,0.0033800464,0,0.6230678836500003,0.006987961,0,0.10356613755000003,0,0,0,0.0389274983,1.8989025e-4,3.797805e-5,0.0031142,0,0.00660818
