Actinobacteria,Bacilli,Bacteriaunclassified,Bacteroidetesunclassified,Bacteroidia,Betaproteobacteria,CandidatusSaccharibacteriaunclassified,Clostridia,Deferribacteres,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Firmicutesunclassified,Gammaproteobacteria,Mollicutes,Proteobacteriaunclassified,Verrucomicrobiae
0.0135584963,0.16724851840000005,5.683202e-4,0.005804985,0.6651782089,0.0241130146,2.435658e-4,0.1058699353000001,0,4.05943e-5,0.0078752943,0.0070228140000000005,0.0020703093,0,4.05943e-4,0,0
0.00549793874,0.1345120703,0.0014994376,0.003998501,0.6998000445500003,0.0164313387,6.247657e-5,0.10508559109000012,0,3.123829e-4,0.017430960000000002,0.0096213922,0.0010621017,1.874297e-4,0.004498313,0,0
0.009523808880000002,0.0707629246,0.0026625708,0.005837174,0.5173578836200001,0.0144393267,0,0.34106501966,0,0.008858167,0.018791607000000002,0.00742447556,0.0016897077000000002,0,0.001587302,0,0
0.0044686497200000005,0.03896104612,0.00240189906,0.006032677,0.5207373684999997,0.00578131512,5.585812e-5,0.39698366029999993,0,0.006619187,0.014299679000000001,0.001396453,8.658009e-4,0,0.001396453,0,0
0.0096515917,0.0156838376,0.00968815118,4.3870872e-4,0.4335904387399998,0.0291010122,4.387087e-4,0.30552408357999994,0.07074178,0.01341718,0.087449276,9.139765000000001e-4,0.0011698899,0,0,0.022191348,0
0.053235916800000005,0.071944761,0.00176650079,8.029549e-5,0.43728924783000017,0.06624377740000001,0.001445319,0.3018307395099998,0.009715754,0.02529308,0.0195921039,0.0040950699,3.2118199e-4,0,0,0.0071462984999999994,0
0.012422602639999999,0.01721250483,0.00837260055,7.788465e-5,0.48366364711000015,0.032361073330000004,0,0.2773861970800003,0.05911445,0.01070914,0.082207252,3.5048093000000004e-4,3.894233e-5,0,0,0.016083177,0
0.0240874795,0.04105960721,0.002618204,6.160481e-5,0.4098259510799997,0.03203450041,5.544432e-4,0.3614353912899994,0.03693208,0.02223933,0.0574464773,0.0016941322100000001,1.2320961e-4,0,0,0.009887571099999999,0
0.03446226773,0.02948878257,0.024867411319999998,0,0.5098039626199999,0.005941771,0.002156643,0.38386039285999995,0,0,0,0.002662794,0.003939173670000001,0,0.002816839,0,0
0.027288597499999998,0.00138256159,0.0073434422099999995,0,0.6184583610699999,0.005439586,0,0.32755374939999954,0,0,0,4.07969e-4,0.0013372317,2.266494e-5,0.004804968,0,0.00596088
0.01194953553,0.00194885139,0.0012650438,0,0.7116384698800001,0.005179841,0.001282139,0.26246239655000025,0,0,0,1.709519e-4,0.0014018056699999998,0,0.002701039,0,0
