Sample,Group,shannon
26M11,CtrlPN,3.682829
27M11,CtrlPN,3.508018
29M11,CtrlPN,3.553761
30M11,CtrlPN,2.566599
31M11,CtrlPN,2.995589
70M11,CtrlPN,3.432257
73M11,CtrlPN,3.616886
75M11,CtrlPN,3.786042
25M11,MetPN,3.421346
28M11,MetPN,3.282248
32M11,MetPN,3.447757
74M11,MetPN,3.168606
