"","GP","GN","Ratio","group"
"1",0.37874212377,0.62125785263,0.609637563801653,"CtrlPN"
"2",0.35882882438,0.64117111561,0.559645959781915,"CtrlPN"
"3",0.392616697,0.6073833035,0.646406799030491,"CtrlPN"
"4",0.505833887060001,0.49416608388,1.02361109667501,"CtrlPN"
"5",0.35212391341,0.64787608251,0.543505035786786,"CtrlPN"
"6",0.16671172298,0.8332882193,0.200064898457397,"CtrlPN"
"7",0.13985055236,0.86014945075,0.162588666699791,"CtrlPN"
"8",0.29926015764,0.7007397747,0.42706318157567,"CtrlPN"
"9",0.46498993868,0.53501007392,0.869123706910853,"CtrlPN"
"10",0.34322822081,0.65677169172,0.522598987040884,"CtrlPN"
"11",0.3909233032,0.60907673449,0.641829314868401,"MetPN"
"12",0.26726786659,0.73273210525,0.364755228650465,"MetPN"
"13",0.29926530788,0.70073465258,0.427073653027077,"MetPN"
"14",0.24602020986,0.75397978498,0.326295498580941,"MetPN"
"15",0.24402086945,0.75597916607,0.32278782326576,"MetPN"
"16",0.34764890425,0.6523510948,0.532916871024158,"MetPN"
"17",0.24061417356,0.75938582136,0.316853655667522,"MetPN"
"18",0.2608445572,0.73915544089,0.35289540301012,"MetPN"
