Sample,Group,shannon
311b19,CtrlPN,2.895203
313b19,CtrlPN,2.723788
314b19,CtrlPN,2.86789
317b19,CtrlPN,2.822786
732b19,CtrlPN,3.280149
733b19,CtrlPN,2.634254
737b19,CtrlPN,2.856006
752b19,CtrlPN,2.595416
757b19,CtrlPN,2.960447
759b19,CtrlPN,3.163733
251b19,MetPN,3.454672
252b19,MetPN,3.428558
253b19,MetPN,3.397669
254b19,MetPN,3.607406
2810b19,MetPN,3.517622
282b19,MetPN,3.437213
283b19,MetPN,3.65094
288b19,MetPN,3.608782
