Actinobacteria,Bacteriaunclassified,Bacteroidetes,CandidatusSaccharibacteria,Deferribacteres,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
0.027852454000000002,0.00506808814,0.5253184156899999,4.407034e-5,0,0.4344894239399999,1.32211e-4,0.007095324,0
0.011292564389999999,0.00249015539,0.60817694706,0,0,0.3515751663599998,0.024264539300000002,0.002200602,0
0.013192731329999999,0.00130132373,0.5907112436400003,0,0,0.37383887015000006,0.020462197269999996,4.936056e-4,0
0.01584068438,0.00389176027,0.60428700469,0,0,0.37436909798999995,6.080876e-5,0.001550623,0
0.0187934622,0.006586557349999999,0.51886832,0,0,0.45147856354000004,3.5382329999999996e-4,0.003116367,8.029068e-4
0.03107387837,0.00159246705,0.6722564605500001,0,0,0.28392994019000034,0.00654988554,4.154262e-4,0.004181957
0.037303015799999985,0.00438943646,0.5995826485800002,0,0,0.33811613194999984,0.0101316826,7.48363e-4,0.009728718
0.00488979844,0.0039503798,0.6852703432599999,1.445261e-4,0,0.2969770007400003,0.005347465,0.00342045,0
0.031835957799999995,0.00281443024,0.45564531032,0,0,0.4918491583899993,0.008534668569999999,0.002869257,0.006451259
0.03721848814999999,0.0033800464,0.6230678836500003,0,0,0.3195853075499993,0.00702593905,0.0031142,0.00660818
